	but672FWD_MM	but1031REV_MM	but672FWD_Melt	but1031REV_Melt	organism	definition	function
CP000142	0	1	67.11081138919411	65.42440750281378	Pelobacter carbinolicus DSM 2380,definition=acyl.CoA..carboxylate coenzyme A transferase, putative	acyl.CoA..carboxylate coenzyme A transferase, putative	unknown
CP000230	2	3	64.21798645390578	67.50598128278472	Rhodospirillum rubrum ATCC 11170,definition=Acetyl.CoA hydrolase.transferase	Acetyl.CoA hydrolase.transferase	unknown
CP000248	4	4	64.07506480468368	62.75971029343276	Novosphingobium aromaticivorans DSM 12444,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP000251	1	4	66.40165545683203	65.91407828303204	Anaeromyxobacter dehalogenans 2CP.C,definition=Acetyl.CoA hydrolase.transferase	Acetyl.CoA hydrolase.transferase	unknown
CP000252	1	2	58.82500235054118	55.79411077243424	Syntrophus aciditrophicus SB,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP000254	2	2	59.63532826485999	55.31236453760795	Methanospirillum hungatei JF.1,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP000267	3	3	67.02755306618167	58.80853384428525	Albidiferax ferrireducens T118,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP000267.20	4	4	62.0772186704516	60.53425691025706	Albidiferax ferrireducens T118,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP000325	4	2	63.71516612292845	66.13246459867048	Mycobacterium ulcerans Agy99,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP000360	3	4	61.789060646751636	58.99707734751672	Candidatus Koribacter versatilis Ellin345,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP000444	3	5	58.60237686097088	58.69951657786697	Shewanella sp. MR.7,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP000446	3	5	61.013684692068296	58.69951657786697	Shewanella sp. MR.4,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP000447	3	6	59.87396435034458	51.07732337811751	Shewanella frigidimarina NCIMB 400,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP000448	2	1	60.41859262400834	62.7116723954789	Syntrophomonas wolfei subsp. wolfei str. Goettingen G311,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP000448.41	4	3	65.26675221730795	56.01784489111952	Syntrophomonas wolfei subsp. wolfei str. Goettingen G311,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP000448.61	0	2	54.172343131585706	63.025947169491644	Syntrophomonas wolfei subsp. wolfei str. Goettingen G311,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
CP000448.62	3	2	56.09288036022173	58.411139426269415	Syntrophomonas wolfei subsp. wolfei str. Goettingen G311,definition=conserved hypothetical protein	conserved hypothetical protein	unknown
CP000448.63	2	0	60.41859262400834	59.96921887624376	Syntrophomonas wolfei subsp. wolfei str. Goettingen G311,definition=conserved hypothetical protein	conserved hypothetical protein	unknown
CP000448.74	1	2	56.14903581686838	52.11670012193315	Syntrophomonas wolfei subsp. wolfei str. Goettingen G311,definition=conserved hypothetical protein	conserved hypothetical protein	unknown
CP000448.92	1	1	62.00249915845444	58.14413232875518	Syntrophomonas wolfei subsp. wolfei str. Goettingen G311,definition=conserved hypothetical protein	conserved hypothetical protein	unknown
CP000469	3	5	58.60237686097088	58.69951657786697	Shewanella sp. ANA.3,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP000472	4	5	57.60774321788824	59.82381105266512	Shewanella piezotolerans WP3,definition=Acetyl.CoA hydrolase.transferase	Acetyl.CoA hydrolase.transferase	unknown
CP000473	3	4	63.07774834017005	63.63002158977167	Candidatus Solibacter usitatus Ellin6076,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP000492	3	3	57.77261759477932	64.35960950755799	Chlorobium phaeobacteroides DSM 266,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP000514	5	4	60.418336169596046	59.11575031008533	Marinobacter aquaeolei VT8,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP000516	5	4	59.86726026263506	65.07581133718179	Marinobacter aquaeolei VT8,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP000529	4	4	62.0772186704516	63.32469571238818	Polaromonas naphthalenivorans CJ2,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP000556	1	1	64.16849730959518	63.58993448242899	Methylibium petroleiphilum PM1,definition=4.hydroxybutyrate CoA transferase (cat2.1)	4.hydroxybutyrate CoA transferase (cat2.1)	unknown
CP000606	3	5	61.581435972533825	55.819472180190985	Shewanella loihica PV.4,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP000607	3	4	56.80038755278554	54.629295424043335	Chlorobium phaeovibrioides DSM 265,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP000612	7	5	57.36055597349775	54.78196189883158	Desulfotomaculum reducens MI.1,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP000612.21	1	2	58.362580348344636	52.03061998733091	Desulfotomaculum reducens MI.1,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP000612.39	1	2	57.01427019878645	52.547582165122776	Desulfotomaculum reducens MI.1,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP000612.42	0	2	63.055868783904714	55.90380475537438	Desulfotomaculum reducens MI.1,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP000612.64	1	3	56.52321469815831	53.70827763905419	Desulfotomaculum reducens MI.1,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP000673	3	3	52.789249183064896	52.54758216512283	Clostridium kluyveri DSM 555,definition=Cat3	Cat3	unknown
CP000673.11	3	4	52.80559837327604	54.19895501028253	Clostridium kluyveri DSM 555,definition=Cat2	Cat2	unknown
CP000681	4	5	57.43638881569609	63.32469571238818	Shewanella putrefaciens CN.32,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP000686	2	4	61.42796880847658	63.208399318617126	Roseiflexus sp. RS.1,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP000753	3	4	57.52808383593185	63.34944137936037	Shewanella baltica OS185,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP000769	1	5	66.40165545683203	65.0638294247089	Anaeromyxobacter sp. Fw109.5,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP000804	1	5	62.2295806749766	62.27456068303502	Roseiflexus castenholzii DSM 13941,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP000812	2	3	56.97031338722661	54.79573784237357	Thermotoga lettingae TMO,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP000821	3	5	60.23648026405783	49.25229162635321	Shewanella sediminis HAW.EB3,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP000854	4	2	63.71516612292845	66.13246459867048	Mycobacterium marinum M,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP000875	3	5	57.86340655768515	59.89124269570169	Herpetosiphon aurantiacus DSM 785,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP000896	2	4	50.002306234224534	50.39519790583546	Acholeplasma laidlawii PG.8A,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
CP000930	0	1	65.298809653734	66.26958918950822	Heliobacterium modesticaldum Ice1,definition=4.hydroxybutyrate coenzyme a transferase, putative	4.hydroxybutyrate coenzyme a transferase, putative	unknown
CP000931	3	5	56.08832031327074	55.73650626044588	Shewanella halifaxensis HAW.EB4,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP001034	2	3	51.04113409983313	60.46157773528353	Natranaerobius thermophilus JW.NM.WN.LF,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP001056	1	3	54.47340562679767	52.27776164842271	Clostridium botulinum B str. Eklund 17B (NRP),definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
CP001087	0	2	61.62614244799056	55.26867915412299	Desulfobacterium autotrophicum HRM2,definition=Cat1	Cat1	unknown
CP001097	2	4	64.15721594255336	55.89939895715372	Chlorobium limicola DSM 245,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP001098	1	2	54.13230781963637	55.08129025349115	Halothermothrix orenii H 168,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP001099	3	5	62.60927725705773	59.20092131395529	Chlorobaculum parvum NCIB 8327,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP001100	3	4	59.93742474388989	53.036193454088334	Chloroherpeton thalassium ATCC 35110,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP001101	4	3	58.4188713527077	61.63841192454669	Chlorobium phaeobacteroides BS1,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP001107	0	0	62.07721867045166	63.56873177598544	Eubacterium rectale ATCC 33656,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
CP001108	3	5	58.96021276572736	53.58995595571406	Prosthecochloris aestuarii DSM 271,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP001110	3	4	55.730080897706046	52.94769769847335	Pelodictyon phaeoclathratiforme BU.1,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP001124	2	6	63.271389499663144	62.379870620326244	Geobacter bemidjiensis Bem,definition=butyryl:4.hydroxybutyrate coenzyme A transferase	butyryl:4.hydroxybutyrate coenzyme A transferase	unknown
CP001124.56	3	3	65.42526528193832	64.7270688576981	Geobacter bemidjiensis Bem,definition=succinyl:benzoate coenzyme A transferase	succinyl:benzoate coenzyme A transferase	unknown
CP001124.97	4	3	62.464077497469816	65.0635239444108	Geobacter bemidjiensis Bem,definition=succinyl:benzoate coenzyme A transferase	succinyl:benzoate coenzyme A transferase	unknown
CP001131	1	4	65.67977266306389	65.92592540735518	Anaeromyxobacter sp. K,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP001145	1	4	52.95790563827603	57.035375651072	Coprothermobacter proteolyticus DSM 5265,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
CP001252	3	4	57.52808383593185	63.34944137936037	Shewanella baltica OS223,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP001322	2	3	65.21139137605354	59.89737300883667	Desulfatibacillum alkenivorans AK.01,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP001322.100	3	3	60.176157253678355	63.234982864924916	Desulfatibacillum alkenivorans AK.01,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP001336.71	1	1	56.40710877019802	62.10183762807088	Desulfitobacterium hafniense DCB.2,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP001359	1	4	65.67977266306389	66.7441823547012	Anaeromyxobacter dehalogenans 2CP.1,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP001390	5	5	60.363639214350485	62.266435987770876	Geobacter daltonii FRC.32,definition=succinyl:benzoate coenzyme A transferase	succinyl:benzoate coenzyme A transferase	unknown
CP001390.88	3	4	63.216304501761556	65.0635239444108	Geobacter daltonii FRC.32,definition=succinyl:benzoate coenzyme A transferase	succinyl:benzoate coenzyme A transferase	unknown
CP001585	6	6	64.51678102965184	62.654906619330006	Yersinia pestis D106004,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
CP001632	3	6	47.91499390722345	48.01938387928578	Capnocytophaga ochracea DSM 7271,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP001661	3	4	66.37240030540005	67.45984997539603	Geobacter sp. M21,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP001661.96	2	6	61.42796880847658	65.0638294247089	Geobacter sp. M21,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP001673	5	2	54.59880423796392	58.795265872881885	Flavobacteriaceae bacterium 3519.10,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
CP001699	3	3	46.56957478415842	54.978361034654654	Chitinophaga pinensis DSM 2588,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP001708	1	4	54.09235782827375	54.154280408701084	Anaerococcus prevotii DSM 20548,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP001715	5	4	58.5002696319217	65.0635239444108	Candidatus Accumulibacter phosphatis clade IIA str. UW.1,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP001720	0	2	57.247309421593854	54.59585607297413	Desulfotomaculum acetoxidans DSM 771,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP001769	1	4	57.645454405708335	55.95265114383625	Spirosoma linguale DSM 74,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP001823	3	4	61.80387170161492	63.63002158977167	Sphaerobacter thermophilus DSM 20745,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP001859	7	4	63.43794114124921	63.250314427268904	Acidaminococcus fermentans DSM 20731,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP001878	4	6	55.201150150373394	49.849765899191254	Bacillus pseudofirmus OF4,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
CP001959	1	1	52.95374856051774	58.21640793692791	Brachyspira murdochii DSM 12563,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP001962	3	5	61.771738258100925	65.0638294247089	Thermus scotoductus SA.01,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
CP002025	0	1	52.45435032673856	58.78304913707933	Brachyspira pilosicoli 95.1000,definition=butyryl.CoA transferase	butyryl.CoA transferase	unknown
CP002042	2	5	60.48604655429017	62.689466371979336	Meiothermus silvanus DSM 9946,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP002048	3	2	63.48901254951596	60.25111816879496	Syntrophothermus lipocalidus DSM 12680,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP002048.14	0	1	64.84107060132658	61.44267389980172	Syntrophothermus lipocalidus DSM 12680,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP002048.40	2	4	60.17613391733801	60.460524232954185	Syntrophothermus lipocalidus DSM 12680,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP002085	1	4	63.799100609955474	60.95883792477963	Desulfarculus baarsii DSM 2075,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP002085.101	4	2	68.12254745050274	68.33558442431018	Desulfarculus baarsii DSM 2075,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP002085.94	0	4	65.298809653734	60.59883286209157	Desulfarculus baarsii DSM 2075,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP002113	4	6	51.402585746128636	53.26464753830527	Capnocytophaga canimorsus Cc5,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
CP002157	1	4	53.654719742920975	51.05357913399598	Maribacter sp. HTCC2170,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
CP002157.84	2	4	49.471626389918015	52.96630210375548	Maribacter sp. HTCC2170,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
CP002273	0	0	59.62537024149208	66.25310376563891	Eubacterium limosum KIST612,definition=Acetyl.CoA hydrolase	Acetyl.CoA hydrolase	unknown
CP002273.36	0	2	63.31880671647946	64.56130821328873	Eubacterium limosum KIST612,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
CP002292	4	4	63.65334786694058	59.96661443695257	Rhodomicrobium vannielii ATCC 17100,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP002349	3	4	57.50412109102194	49.776946412697214	Marivirga tractuosa DSM 4126,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP002351	1	3	55.176458558273	54.645807480801636	Thermotoga thermarum DSM 5069,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP002390	2	3	57.5515864341786	57.154893722950305	Filifactor alocis ATCC 35896,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
CP002417	4	4	62.0772186704516	63.32469571238818	Variovorax paradoxus EPS,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP002431	2	2	64.74884559023212	65.61367643338713	Desulfovibrio aespoeensis Aspo.2,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP002457	4	5	57.43638881569609	63.32469571238818	Shewanella putrefaciens 200,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP002487	5	6	61.74839681970059	57.775871336800265	Salmonella enterica subsp. enterica serovar Typhimurium str. ST4.74,definition=putative acetyl.CoA hydrolase	putative acetyl.CoA hydrolase	unknown
CP002544	2	2	59.388659889897724	57.71197598124104	Odoribacter splanchnicus DSM 220712,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP002563	5	7	54.41654052117735	53.176066065540056	Carnobacterium sp. 17.4,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
CP002689	1	5	57.29510769693576	55.58188876548422	Porphyromonas asaccharolytica DSM 20707,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP002689.50	1	2	62.03430661571525	60.46052423295413	Porphyromonas asaccharolytica DSM 20707,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP002691	3	4	58.09272064378655	54.76172478014155	Haliscomenobacter hydrossis DSM 1100,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP002767	3	4	57.52808383593185	63.34944137936037	Shewanella baltica BA175,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP002770	2	1	59.63354423918554	63.28144439974545	Desulfotomaculum kuznetsovii DSM 6115,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP002777	2	7	63.38102220629531	61.75230958894451	Thermus thermophilus SG0.5JP17.16,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP002780	3	3	54.235791180197396	57.14334470302305	Desulfotomaculum ruminis DSM 2154,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP002780.82	5	3	60.35698672666206	55.490206665533094	Desulfotomaculum ruminis DSM 2154,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP002811	3	4	57.52808383593185	63.34944137936037	Shewanella baltica OS117,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP002859	4	5	58.67332387587544	61.501446615742395	Runella slithyformis DSM 19594,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP002873	0	1	52.45435032673856	58.78304913707933	Brachyspira pilosicoli P43.6.78,definition=butyryl.CoA transferase	butyryl.CoA transferase	unknown
CP002874	1	1	49.85659920203858	58.78304913707933	Brachyspira intermedia PWS.A,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP002961	3	5	49.47139056480296	49.846949378175964	Emticicia oligotrophica DSM 17448,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP002999	4	4	52.07469754177151	51.05357913399598	Muricauda ruestringensis DSM 13258,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP003046	2	3	64.21798645390578	67.50598128278472	Rhodospirillum rubrum F11,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP003108	4	2	53.03642308530266	63.12615905149886	Desulfosporosinus orientis DSM 765,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
CP003108.0	1	7	56.59645050539251	55.78821919952509	Desulfosporosinus orientis DSM 765,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
CP003108.17	2	2	58.226418263351775	62.40409847339208	Desulfosporosinus orientis DSM 765,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
CP003108.18	1	1	56.22237662404024	53.12879793492016	Desulfosporosinus orientis DSM 765,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
CP003108.44	0	4	60.545913249308114	55.42429036256499	Desulfosporosinus orientis DSM 765,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
CP003108.55	0	2	61.56098007146909	57.12389934022997	Desulfosporosinus orientis DSM 765,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
CP003108.70	1	1	58.004209025253886	61.72552648528119	Desulfosporosinus orientis DSM 765,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
CP003108.80	0	2	54.4573799786678	54.75419757696011	Desulfosporosinus orientis DSM 765,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
CP003108.85	1	7	58.2177960986906	58.35243158513964	Desulfosporosinus orientis DSM 765,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
CP003108.95	1	2	55.99816543214149	58.9789744254706	Desulfosporosinus orientis DSM 765,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
CP003108.98	4	3	55.97523350601364	50.46632308911245	Desulfosporosinus orientis DSM 765,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
CP003126	3	6	61.771738258100925	62.689466371979336	Thermus sp. CCB.US3.UF1,definition=Acetyl.CoA hydrolase.transferase	Acetyl.CoA hydrolase.transferase	unknown
CP003147	2	3	65.21139137605354	61.72552648528119	Pseudovibrio sp. FO.BEG1,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP003153	4	3	62.0772186704516	65.0635239444108	Dechlorosoma suillum PS,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
CP003156	4	5	53.49829337059077	52.24524253465205	Owenweeksia hongkongensis DSM 17368,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
CP003178	2	3	51.89768825993622	55.36966675853415	Niastella koreensis GR20.10,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP003179	2	1	51.1671470282858	60.53225461880709	Sulfobacillus acidophilus DSM 10332,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP003222	3	5	54.00096136855433	51.68329886471463	Flavobacterium columnare ATCC 49512,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
CP003230	1	3	55.85267959382679	54.769433598562046	Cycloclasticus sp. P1,definition=4.hydroxybutyrate CoA transferase	4.hydroxybutyrate CoA transferase	unknown
CP003249	2	7	63.38102220629531	61.75230958894451	Thermus oshimai JL.2,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
CP003252	2	5	63.38102220629531	62.689466371979336	Thermus thermophilus JL.18,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
CP003260	0	4	62.48660616893193	54.680448238334975	Fervidobacterium pennivorans DSM 9078,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
CP003261	3	4	51.39131983914314	52.52792370198938	Clostridium pasteurianum BC1,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
CP003280	3	3	55.01385847653705	58.79005632926504	Aequorivita sublithincola DSM 14238,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
CP003346	3	5	57.513286192261035	60.534256910257	Echinicola vietnamensis DSM 17526,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
CP003348	6	4	60.176094684315274	57.680117072918506	Desulfitobacterium dehalogenans ATCC 51507,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
CP003348.29	0	0	57.47301407803678	56.03538223411539	Desulfitobacterium dehalogenans ATCC 51507,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
CP003348.99	1	1	53.983131438798694	60.25111816879496	Desulfitobacterium dehalogenans ATCC 51507,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
CP003360	2	3	58.00697949249064	58.64495853591859	Desulfomonile tiedjei DSM 6799,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
CP003418	3	4	54.03512995258666	49.25348397139163	Ignavibacterium album JCM 16511,definition=Acetyl.CoA hydrolase	Acetyl.CoA hydrolase	unknown
CP003490	0	1	55.49246554010881	58.78304913707933	Brachyspira pilosicoli B2904,definition=butyryl.CoA transferase	butyryl.CoA transferase	unknown
CP003510	5	7	56.503000982811955	54.87424024200601	Mycoplasma gallisepticum WI01.2001.043.13.2P,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
CP003513	5	7	56.503000982811955	54.87424024200601	Mycoplasma gallisepticum NC08.2008.031.4.3P,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
CP003532	2	3	54.87823592501593	53.6259673296052	Mesotoga prima MesG1.Ag.4.2,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
CP003557	4	3	55.984436366909506	55.763701656937656	Melioribacter roseus P3M.2,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CP003700	2	2	49.84028919733731	51.61254521688727	Fusobacterium nucleatum subsp. vincentii 3.1.36A2,definition=hypothetical protein	hypothetical protein	unknown
CP003700.27	2	3	53.818808223667986	55.04289885276796	Fusobacterium nucleatum subsp. vincentii 3.1.36A2,definition=hypothetical protein	hypothetical protein	unknown
CP003723	2	3	52.92585779471568	52.22631593261906	Fusobacterium nucleatum subsp. animalis 4.8,definition=hypothetical protein	hypothetical protein	unknown
CP003879	1	5	54.860529706475006	52.44323347657411	Psychroflexus torquis ATCC 700755,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
